,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
0,"Смартфон 9 5G 4 128Gb 6.6"" 120 герц",121028588,36,21990,14073,Realme,48914,1116,5,https://www.wildberries.ru/catalog/121028588/detail.aspx?targetUrl=BP
1,"Смартфон 9 5G 4 128Gb 6.6"" 120 герц",121028587,36,21990,14073,Realme,48914,1116,5,https://www.wildberries.ru/catalog/121028587/detail.aspx?targetUrl=BP
2,Смартфон Reno 7 8+128 Гб,116872732,43,27990,15954,OPPO,10883,357,5,https://www.wildberries.ru/catalog/116872732/detail.aspx?targetUrl=BP
3,Смартфон Reno 7 8+128 Гб,116872733,43,27990,15954,OPPO,10883,288,5,https://www.wildberries.ru/catalog/116872733/detail.aspx?targetUrl=BP
4,SMART 6 PLUS 2+64GB,114477948,40,9990,5994,Infinix,252622,1813,5,https://www.wildberries.ru/catalog/114477948/detail.aspx?targetUrl=BP
5,NOTE 12 2023 8+256GB,128728547,35,22990,14943,Infinix,252622,118,5,https://www.wildberries.ru/catalog/128728547/detail.aspx?targetUrl=BP
6,NOTE 12 PRO 8+256GB,117962430,32,24990,16993,Infinix,252622,586,5,https://www.wildberries.ru/catalog/117962430/detail.aspx?targetUrl=BP
7,Смартфон SMART 6 2+32 GB,74764975,30,9990,6993,Infinix,252622,947,5,https://www.wildberries.ru/catalog/74764975/detail.aspx?targetUrl=BP
8,Смартфон С35 4 128Gb 6.6 2408x1080 FHD+ 5000 mAh,111864727,40,19990,11994,Realme,48914,1383,5,https://www.wildberries.ru/catalog/111864727/detail.aspx?targetUrl=BP
9,Смартфон 10 4G 4 128Gb 6.4 FHD+ 50mp NFC,123832379,20,19990,15992,Realme,48914,153,5,https://www.wildberries.ru/catalog/123832379/detail.aspx?targetUrl=BP
10,SMART 6 PLUS 2+64GB,114477949,40,9990,5994,Infinix,252622,1813,5,https://www.wildberries.ru/catalog/114477949/detail.aspx?targetUrl=BP
11,Смартфон С35 4 128Gb 6.6 2408x1080 FHD+ 5000 mAh,111864728,40,19990,11994,Realme,48914,1383,5,https://www.wildberries.ru/catalog/111864728/detail.aspx?targetUrl=BP
12,Смартфон С31 3 32Gb 6.5 HD+ NFC 5000mA,115115739,46,12990,7014,Realme,48914,549,5,https://www.wildberries.ru/catalog/115115739/detail.aspx?targetUrl=BP
13,Смартфон А17 4+64 Гб,126920776,36,10990,7033,OPPO,10883,230,5,https://www.wildberries.ru/catalog/126920776/detail.aspx?targetUrl=BP
14,Смартфон А17 4+64 Гб,126920777,36,10990,7033,OPPO,10883,230,5,https://www.wildberries.ru/catalog/126920777/detail.aspx?targetUrl=BP
15,Смартфон SMART 6 2+32 GB,48808646,30,9990,6993,Infinix,252622,947,5,https://www.wildberries.ru/catalog/48808646/detail.aspx?targetUrl=BP
16,Смартфон 10 4G 4 128Gb 6.4 FHD+ 50mp NFC,123832380,20,19990,15992,Realme,48914,153,5,https://www.wildberries.ru/catalog/123832380/detail.aspx?targetUrl=BP
17,Смартфон С25Y 4 64b 6.5 1600x720HD+ 5000m,131745097,9,10990,10000,Realme,48914,110,5,https://www.wildberries.ru/catalog/131745097/detail.aspx?targetUrl=BP
18,Смартфон M4 Pro 8GB+256GB,66070237,48,39990,20794,POCO,132943,2391,5,https://www.wildberries.ru/catalog/66070237/detail.aspx?targetUrl=BP
19,Смартфон С31 3 32Gb 6.5 HD + NFC,115115428,46,12990,7014,Realme,48914,549,5,https://www.wildberries.ru/catalog/115115428/detail.aspx?targetUrl=BP
20,Смартфон С31 4 64Gb 6.5 HD+ NFC 5000mA,115119935,36,13990,8953,Realme,48914,1108,5,https://www.wildberries.ru/catalog/115119935/detail.aspx?targetUrl=BP
21,NOTE 12 2023 8+256GB,128728542,35,22990,14943,Infinix,252622,118,5,https://www.wildberries.ru/catalog/128728542/detail.aspx?targetUrl=BP
22,Смартфон С31 4 64Gb 6.5 HD+ NFC 5000mA,115119681,36,13990,8953,Realme,48914,1108,5,https://www.wildberries.ru/catalog/115119681/detail.aspx?targetUrl=BP
23,NOTE 12 PRO 8+256GB,117964070,32,24990,16993,Infinix,252622,586,5,https://www.wildberries.ru/catalog/117964070/detail.aspx?targetUrl=BP
24,Смартфон SMART 6 2+32GB,48793199,40,8317,4990,Infinix,252622,114,5,https://www.wildberries.ru/catalog/48793199/detail.aspx?targetUrl=BP
25,Смартфон SMART 6 2+32GB,48793556,40,8317,4990,Infinix,252622,114,5,https://www.wildberries.ru/catalog/48793556/detail.aspx?targetUrl=BP
26,HOT 20i 4+64GB,136419433,30,9986,6990,Infinix,252622,9,5,https://www.wildberries.ru/catalog/136419433/detail.aspx?targetUrl=BP
27,HOT 20i 4+64GB,105015290,30,9986,6990,Infinix,252622,9,5,https://www.wildberries.ru/catalog/105015290/detail.aspx?targetUrl=BP
28,NOTE 12 2023 8+256GB,128728546,35,22990,14943,Infinix,252622,118,5,https://www.wildberries.ru/catalog/128728546/detail.aspx?targetUrl=BP
29,HOT 12 PRO 8+128GB,114477953,39,17990,10973,Infinix,252622,518,5,https://www.wildberries.ru/catalog/114477953/detail.aspx?targetUrl=BP
30,HOT 12 PRO 8+128GB,114477951,39,17990,10973,Infinix,252622,518,5,https://www.wildberries.ru/catalog/114477951/detail.aspx?targetUrl=BP
31,Смартфон А96 6+128 ГБ,116872730,32,21990,14953,OPPO,10883,155,5,https://www.wildberries.ru/catalog/116872730/detail.aspx?targetUrl=BP
32,Смартфон С35 4 64Gb 6.6 2408x1080 FHD+ 5000mAh,111864107,39,17990,10973,Realme,48914,1064,5,https://www.wildberries.ru/catalog/111864107/detail.aspx?targetUrl=BP
33,Смартфон С33 4 128Gb 50M HD+ NFC 5000m,106466313,27,14990,10942,Realme,48914,299,5,https://www.wildberries.ru/catalog/106466313/detail.aspx?targetUrl=BP
34,Смартфон С33 4 128Gb 50M HD+ NFC 5000m,106466314,27,14990,10942,Realme,48914,299,5,https://www.wildberries.ru/catalog/106466314/detail.aspx?targetUrl=BP
35,Смартфон HOT 12 Play 4+64GB,81588758,38,12990,8053,Infinix,252622,587,5,https://www.wildberries.ru/catalog/81588758/detail.aspx?targetUrl=BP
36,Смартфон А17k 3+64 Гб,127005147,33,8990,6023,OPPO,10883,46,5,https://www.wildberries.ru/catalog/127005147/detail.aspx?targetUrl=BP
37,Смартфон А57s 4+64 Гб,126066982,29,13990,9932,OPPO,10883,96,5,https://www.wildberries.ru/catalog/126066982/detail.aspx?targetUrl=BP
38,Смартфон А96 6+128 ГБ,116872731,32,21990,14953,OPPO,10883,142,5,https://www.wildberries.ru/catalog/116872731/detail.aspx?targetUrl=BP
39,Смартфон M4 Pro 8GB+256GB,78487675,50,39990,19995,POCO,132943,2391,5,https://www.wildberries.ru/catalog/78487675/detail.aspx?targetUrl=BP
40,Смартфон А57s 4+128 Гб,126963650,31,15990,11033,OPPO,10883,41,5,https://www.wildberries.ru/catalog/126963650/detail.aspx?targetUrl=BP
41,NOTE 12 6+128GB,113187347,32,18990,12913,Infinix,252622,559,5,https://www.wildberries.ru/catalog/113187347/detail.aspx?targetUrl=BP
42,Смартфон А17k 3+64 Гб,127005148,33,8990,6023,OPPO,10883,46,5,https://www.wildberries.ru/catalog/127005148/detail.aspx?targetUrl=BP
43,Смартфон HOT 11S NFC 6+128GB,110847825,28,17990,12952,Infinix,252622,479,5,https://www.wildberries.ru/catalog/110847825/detail.aspx?targetUrl=BP
44,Смартфон HOT 12 Play 4+64GB,81588757,38,12990,8053,Infinix,252622,587,5,https://www.wildberries.ru/catalog/81588757/detail.aspx?targetUrl=BP
45,Смартфон А57s 4+128 Гб,126963665,31,15990,11033,OPPO,10883,41,5,https://www.wildberries.ru/catalog/126963665/detail.aspx?targetUrl=BP
46,Смартфон NOTE 12 VIP 8+256GB,121002311,24,32990,25072,Infinix,252622,288,5,https://www.wildberries.ru/catalog/121002311/detail.aspx?targetUrl=BP
47,Смартфон А57s 4+64 Гб,126066965,29,13990,9932,OPPO,10883,96,5,https://www.wildberries.ru/catalog/126066965/detail.aspx?targetUrl=BP
48,Смартфон С33 4 64Gb 50M HD+ NFC 5000mA,106443462,29,13990,9932,Realme,48914,251,5,https://www.wildberries.ru/catalog/106443462/detail.aspx?targetUrl=BP
49,Galaxy A33 5G 128GB,84888167,30,29990,20993,Samsung,5772,44,5,https://www.wildberries.ru/catalog/84888167/detail.aspx?targetUrl=BP
50,Смартфон HOT 11S NFC 6+128GB,48033357,28,17990,12952,Infinix,252622,479,5,https://www.wildberries.ru/catalog/48033357/detail.aspx?targetUrl=BP
51,Смартфон HOT 11 4+128GB,104209192,38,15990,9913,Infinix,252622,80,5,https://www.wildberries.ru/catalog/104209192/detail.aspx?targetUrl=BP
52,"Смартфон С35 6.6"" 4+64Гб",113271120,5,13674,12990,Realme,48914,65,5,https://www.wildberries.ru/catalog/113271120/detail.aspx?targetUrl=BP
53,Galaxy A53 5G 128GB,84888172,37,37990,23933,Samsung,5772,50,5,https://www.wildberries.ru/catalog/84888172/detail.aspx?targetUrl=BP
54,HOT 20i 4+64GB,105000655,42,11990,6954,Infinix,252622,49,5,https://www.wildberries.ru/catalog/105000655/detail.aspx?targetUrl=BP
55,Смартфон HOT 11S NFC 4+64GB,45338058,27,14990,10942,Infinix,252622,479,5,https://www.wildberries.ru/catalog/45338058/detail.aspx?targetUrl=BP
56,Смартфон HOT 20 6+128GB,106476935,29,16990,12062,Infinix,252622,23,5,https://www.wildberries.ru/catalog/106476935/detail.aspx?targetUrl=BP
57,Galaxy A33 5G 128GB,85451986,30,29990,20993,Samsung,5772,25,4,https://www.wildberries.ru/catalog/85451986/detail.aspx?targetUrl=BP
58,Смартфон HOT 11 4+128GB,77257973,38,15990,9913,Infinix,252622,80,5,https://www.wildberries.ru/catalog/77257973/detail.aspx?targetUrl=BP
59,HOT 20i 4+64GB,105000990,42,11990,6954,Infinix,252622,49,5,https://www.wildberries.ru/catalog/105000990/detail.aspx?targetUrl=BP
60,Galaxy A23 64GB,84888169,30,19990,13993,Samsung,5772,61,5,https://www.wildberries.ru/catalog/84888169/detail.aspx?targetUrl=BP
61,Смартфон HOT 20 6+128GB,106476937,29,16990,12062,Infinix,252622,23,5,https://www.wildberries.ru/catalog/106476937/detail.aspx?targetUrl=BP
62,Смартфон HOT 11S NFC 4+64GB,50579713,27,14990,10942,Infinix,252622,479,5,https://www.wildberries.ru/catalog/50579713/detail.aspx?targetUrl=BP
63,Смартфон Redmi 9A RU 2+32 Glacial Blue,120292055,34,8990,5933,Xiaomi,19467,13,5,https://www.wildberries.ru/catalog/120292055/detail.aspx?targetUrl=BP
64,Смартфон Redmi 9A RU 2+32 Aurora Green,120290935,34,8990,5933,Xiaomi,19467,13,5,https://www.wildberries.ru/catalog/120290935/detail.aspx?targetUrl=BP
65,"Смартфон G21 6.5"" 1600x720 HD IPS 4+64ГБ 50+2+2+8МП Unisoc T…",92642669,33,14990,10043,Nokia,16111,254,4,https://www.wildberries.ru/catalog/92642669/detail.aspx?targetUrl=BP
66,Смартфон 9 4G 8 128Gb 6.4 FHD+ 5000m NFC,123764976,32,30990,21073,Realme,48914,102,5,https://www.wildberries.ru/catalog/123764976/detail.aspx?targetUrl=BP
67,HOT 20i 4+128 GB,105013940,36,13990,8953,Infinix,252622,26,5,https://www.wildberries.ru/catalog/105013940/detail.aspx?targetUrl=BP
68,"Смартфон Galaxy A22s 4+128Гб 6.6"" 2408х1080 5000мАч",136896232,17,20890,17338,Samsung,5772,6,5,https://www.wildberries.ru/catalog/136896232/detail.aspx?targetUrl=BP
69,HOT 20i 4+128 GB,127659599,36,13990,8953,Infinix,252622,26,5,https://www.wildberries.ru/catalog/127659599/detail.aspx?targetUrl=BP
70,"Смартфон Galaxy A22s 4+128Гб 6.6"" 2408х1080 5000мАч",136892987,17,20890,17338,Samsung,5772,6,5,https://www.wildberries.ru/catalog/136892987/detail.aspx?targetUrl=BP
71,HOT 20i 4+128 GB,105014302,36,13990,8953,Infinix,252622,26,5,https://www.wildberries.ru/catalog/105014302/detail.aspx?targetUrl=BP
72,SMART 6 PLUS 3+64GB,114477944,36,10990,7033,Infinix,252622,38,5,https://www.wildberries.ru/catalog/114477944/detail.aspx?targetUrl=BP
73,"Смартфон Galaxy A22s 4+128Гб 6.6"" 2408х1080 5000мАч",136896212,17,20890,17338,Samsung,5772,6,5,https://www.wildberries.ru/catalog/136896212/detail.aspx?targetUrl=BP
74,Смартфон HOT 11S NFC 4+64GB,45532459,27,14990,10942,Infinix,252622,479,5,https://www.wildberries.ru/catalog/45532459/detail.aspx?targetUrl=BP
75,SMART 6 PLUS 3+64GB,114477946,36,10990,7033,Infinix,252622,38,5,https://www.wildberries.ru/catalog/114477946/detail.aspx?targetUrl=BP
76,Смартфон Redmi 9A RU 2+32 Granite Gray,128845695,34,8990,5933,Xiaomi,19467,2,5,https://www.wildberries.ru/catalog/128845695/detail.aspx?targetUrl=BP
77,P50 Pocket Premium Edition 512 ГБ,124151093,44,129999,72799,Huawei,6667,1,5,https://www.wildberries.ru/catalog/124151093/detail.aspx?targetUrl=BP
78,iPhone 13 Pro 512GB (СНГ),118047153,13,129990,113091,Apple,6049,8,4,https://www.wildberries.ru/catalog/118047153/detail.aspx?targetUrl=BP
79,Смартфон SMART 6 2+32GB,74762629,40,8317,4990,Infinix,252622,114,5,https://www.wildberries.ru/catalog/74762629/detail.aspx?targetUrl=BP
80,Смартфон Galaxy A13 4 128Gb,139335980,0,15490,15490,Samsung,5772,2,5,https://www.wildberries.ru/catalog/139335980/detail.aspx?targetUrl=BP
81,Смартфон Galaxy A13 4 128Gb,139335864,0,15490,15490,Samsung,5772,2,5,https://www.wildberries.ru/catalog/139335864/detail.aspx?targetUrl=BP
82,Смартфон CAMON 19 CI6N 6 128 ГБ,96474538,24,19697,14969,TECNO,23233,40,5,https://www.wildberries.ru/catalog/96474538/detail.aspx?targetUrl=BP
83,Galaxy A32 4GB 64GB,96599279,20,19990,15992,Samsung,5772,37,4,https://www.wildberries.ru/catalog/96599279/detail.aspx?targetUrl=BP
84,SMART 6 PLUS 3+64GB,114477945,36,10990,7033,Infinix,252622,38,5,https://www.wildberries.ru/catalog/114477945/detail.aspx?targetUrl=BP
85,Galaxy A03 Core 32GB,94454060,35,9990,6493,Samsung,5772,25,5,https://www.wildberries.ru/catalog/94454060/detail.aspx?targetUrl=BP
86,HOT 20S 8+128GB,134044399,21,18990,15002,Infinix,252622,2,5,https://www.wildberries.ru/catalog/134044399/detail.aspx?targetUrl=BP
87,Смартфон Redmi 10 2022 4GB 128GB,110521531,22,18990,14812,Xiaomi,19467,264,5,https://www.wildberries.ru/catalog/110521531/detail.aspx?targetUrl=BP
88,Galaxy A03 32GB,96461259,28,10490,7552,Samsung,5772,50,5,https://www.wildberries.ru/catalog/96461259/detail.aspx?targetUrl=BP
89,Смартфон SMART 6 HD 2+32GB,83998169,40,7984,4790,Infinix,252622,8,5,https://www.wildberries.ru/catalog/83998169/detail.aspx?targetUrl=BP
90,HOT 20S 8+128GB,134044398,21,18990,15002,Infinix,252622,2,5,https://www.wildberries.ru/catalog/134044398/detail.aspx?targetUrl=BP
91,Смартфон Blade A52 4G 64G,133863966,6,8990,8450,ZTE,5780,8,5,https://www.wildberries.ru/catalog/133863966/detail.aspx?targetUrl=BP
92,"Смартфон G21 6.5"" 1600x720 HD IPS 4+64ГБ 50+2+2+8МП Unisoc T…",92315063,33,14990,10043,Nokia,16111,254,4,https://www.wildberries.ru/catalog/92315063/detail.aspx?targetUrl=BP
93,"Смартфон A49 6.6"" 2+32Гб синий",68902198,5,5253,4990,ITEL,23234,12,5,https://www.wildberries.ru/catalog/68902198/detail.aspx?targetUrl=BP
94,Смартфон HOT 12 Play 4+64GB,81261232,40,13317,7990,Infinix,252622,26,5,https://www.wildberries.ru/catalog/81261232/detail.aspx?targetUrl=BP
95,HOT 20S 8+128GB,134044400,21,18990,15002,Infinix,252622,2,5,https://www.wildberries.ru/catalog/134044400/detail.aspx?targetUrl=BP
96,Смартфон Blade A52 4G 64G,133863968,6,8990,8450,ZTE,5780,8,5,https://www.wildberries.ru/catalog/133863968/detail.aspx?targetUrl=BP
97,Смартфон SMART 6 HD 2+32GB,83954730,40,7984,4790,Infinix,252622,8,5,https://www.wildberries.ru/catalog/83954730/detail.aspx?targetUrl=BP
98,Galaxy S22+ 5G 256GB,85451568,19,89990,72891,Samsung,5772,3,5,https://www.wildberries.ru/catalog/85451568/detail.aspx?targetUrl=BP
99,"Смартфон Y33s 2109 6.58"" 4GB 128GB",85586956,24,17586,13365,VIVO,33526,24,4,https://www.wildberries.ru/catalog/85586956/detail.aspx?targetUrl=BP
100,Galaxy A32 64GB,96461706,20,19990,15992,Samsung,5772,2,5,https://www.wildberries.ru/catalog/96461706/detail.aspx?targetUrl=BP
101,NOTE 12 2023 (G99) 8+128GB,105020949,40,21650,12990,Infinix,252622,7,4,https://www.wildberries.ru/catalog/105020949/detail.aspx?targetUrl=BP
102,Смартфон nova Y70 4Gb 128Gb,113457228,0,12999,12999,Huawei,6667,0,0,https://www.wildberries.ru/catalog/113457228/detail.aspx?targetUrl=BP
103,Смартфон Redmi 10 C 128 Гб,94206770,69,45000,13950,Xiaomi,19467,17,4,https://www.wildberries.ru/catalog/94206770/detail.aspx?targetUrl=BP
104,"Смартфон A62 Lite 64GB 6,1"" 720х1560 SC7731E 2GB 64GB 13MP+V…",59641143,0,5500,5500,INOI,22703,22,4,https://www.wildberries.ru/catalog/59641143/detail.aspx?targetUrl=BP
105,HOT 12 PRO 8+128GB,114440792,40,18317,10990,Infinix,252622,2,5,https://www.wildberries.ru/catalog/114440792/detail.aspx?targetUrl=BP
106,Y21 6.51 4GB RAM 64GB 13Mpix+2Mpix 8Mpix NFC 5000mAh,85585768,23,10479,8068,VIVO,33526,55,5,https://www.wildberries.ru/catalog/85585768/detail.aspx?targetUrl=BP
107,HOT 12 PRO 8+128GB,114440615,40,18317,10990,Infinix,252622,2,5,https://www.wildberries.ru/catalog/114440615/detail.aspx?targetUrl=BP
108,Смартфон NOTE 12 Pro 8 256Gb Tuscany Blue,137875995,0,17190,17190,Infinix,252622,1,5,https://www.wildberries.ru/catalog/137875995/detail.aspx?targetUrl=BP
109,NOTE 12 PRO 8+256GB,115237028,30,24272,16990,Infinix,252622,7,3,https://www.wildberries.ru/catalog/115237028/detail.aspx?targetUrl=BP
110,Смартфон A52 Lite,55207944,0,3999,3999,INOI,22703,45,3,https://www.wildberries.ru/catalog/55207944/detail.aspx?targetUrl=BP
111,"Смартфон 6868L Wide 3Gb 32Gb 6,8""",113115084,31,8971,6189,BQ,23870,8,5,https://www.wildberries.ru/catalog/113115084/detail.aspx?targetUrl=BP
112,Смартфон Redmi 10C 4GB+128GB,105990830,38,20989,13013,Xiaomi,19467,0,0,https://www.wildberries.ru/catalog/105990830/detail.aspx?targetUrl=BP
113,Смартфон nova Y70 4Gb 128Gb,113413904,0,12999,12999,Huawei,6667,0,0,https://www.wildberries.ru/catalog/113413904/detail.aspx?targetUrl=BP
114,Смартфон HOT 12 Play 4+64GB,103407343,40,13317,7990,Infinix,252622,26,5,https://www.wildberries.ru/catalog/103407343/detail.aspx?targetUrl=BP
115,Смартфон POCO M4 Pro 256Gb,95465091,0,22000,22000,Xiaomi,19467,2,5,https://www.wildberries.ru/catalog/95465091/detail.aspx?targetUrl=BP
116,HOT 12 PRO 8+128GB,114441285,40,18317,10990,Infinix,252622,2,5,https://www.wildberries.ru/catalog/114441285/detail.aspx?targetUrl=BP
117,NOTE 12 2023 (G99) 8+256GB,139245870,25,19987,14990,Infinix,252622,0,0,https://www.wildberries.ru/catalog/139245870/detail.aspx?targetUrl=BP
118,NOTE 12 2023 (G99) 8+256GB,139245872,25,19987,14990,Infinix,252622,0,0,https://www.wildberries.ru/catalog/139245872/detail.aspx?targetUrl=BP
119,HOT 20S 8+128GB,136436270,20,18738,14990,Infinix,252622,1,5,https://www.wildberries.ru/catalog/136436270/detail.aspx?targetUrl=BP
120,"Смартфон 5765L Clever IPS 5,7""",58255508,36,7016,4490,BQ,23870,39,4,https://www.wildberries.ru/catalog/58255508/detail.aspx?targetUrl=BP
121,"Смартфон A62 Lite 64GB 6,1"" 720х1560 SC7731E 2GB 64GB 13MP+V…",59642983,0,4999,4999,INOI,22703,22,4,https://www.wildberries.ru/catalog/59642983/detail.aspx?targetUrl=BP
122,"Смартфон C30 1600x720 6,5"" 4+64 Гб 5000 мАч, голубой",120843167,0,9290,9290,Realme,48914,24,5,https://www.wildberries.ru/catalog/120843167/detail.aspx?targetUrl=BP
123,"Смартфон С30 6,82"" НD+ 3+64ГБ 13+2+5МП 6000 mAh UNISOC SC986…",36630008,23,12990,10002,Nokia,16111,172,4,https://www.wildberries.ru/catalog/36630008/detail.aspx?targetUrl=BP
124,"Смартфон Blade A51 6,52'' 1600x720 IPS 2+32ГБ 13+2MП 3200 mA…",35254047,14,8990,7731,ZTE,5780,154,4,https://www.wildberries.ru/catalog/35254047/detail.aspx?targetUrl=BP
125,Poco X4 Pro 6Gb 128Gb Global Version,130122751,0,29000,29000,,0,0,0,https://www.wildberries.ru/catalog/130122751/detail.aspx?targetUrl=BP
126,"Смартфон C20 2 16Gb 6,52"" 720x1600 IPS LCD 2Gb 16Gb 3000 mAh",27207882,13,8990,7821,Nokia,16111,176,4,https://www.wildberries.ru/catalog/27207882/detail.aspx?targetUrl=BP
127,HOT 20S 8+128GB,136436279,20,18738,14990,Infinix,252622,1,5,https://www.wildberries.ru/catalog/136436279/detail.aspx?targetUrl=BP
128,HOT 20S 8+128GB,136436266,20,18738,14990,Infinix,252622,1,5,https://www.wildberries.ru/catalog/136436266/detail.aspx?targetUrl=BP
129,Смартфон Y15s 3Gb 32Gb,85585516,20,11044,8835,VIVO,33526,8,5,https://www.wildberries.ru/catalog/85585516/detail.aspx?targetUrl=BP
130,Galaxy A03s 64 ГБ синий,99547871,0,17050,17050,Samsung,5772,0,0,https://www.wildberries.ru/catalog/99547871/detail.aspx?targetUrl=BP
131,Смартфон A22 Lite,55195269,0,4490,4490,INOI,22703,18,3,https://www.wildberries.ru/catalog/55195269/detail.aspx?targetUrl=BP
132,"Смартфон A22 Lite 5"" IPS SC7731E 1.4 ГГц 1 16GB microSD до 1…",55204025,0,4490,4490,INOI,22703,10,4,https://www.wildberries.ru/catalog/55204025/detail.aspx?targetUrl=BP
133,"Смартфон S42H+ 5,5"" 1440х720 IPS 3+32ГБ 13МП 4200 mАh NFC Me…",44517834,5,26990,25640,CAT,31353,3,4,https://www.wildberries.ru/catalog/44517834/detail.aspx?targetUrl=BP
134,Смартфон Y35 64 ГБ чёрный агат,137252769,0,15736,15736,VIVO,33526,1,5,https://www.wildberries.ru/catalog/137252769/detail.aspx?targetUrl=BP
135,NOTE 12 PRO 8+256GB,116098555,30,24272,16990,Infinix,252622,7,3,https://www.wildberries.ru/catalog/116098555/detail.aspx?targetUrl=BP
136,Смартфон Spark Go,96557546,0,7990,7990,TECNO,23233,0,0,https://www.wildberries.ru/catalog/96557546/detail.aspx?targetUrl=BP
137,Смартфон NOTE 11 6+128GB,66521741,20,19865,15892,Infinix,252622,33,5,https://www.wildberries.ru/catalog/66521741/detail.aspx?targetUrl=BP
138,Galaxy A03 Core 32 ГБ черный,95012231,0,11980,11980,Samsung,5772,3,5,https://www.wildberries.ru/catalog/95012231/detail.aspx?targetUrl=BP
139,Смартфон M4 Pro 4G 6GB 128GB,82676513,0,19690,19690,POCO,132943,11,5,https://www.wildberries.ru/catalog/82676513/detail.aspx?targetUrl=BP
140,Смартфон HOT 11S NFC 6+128GB,110851970,30,18558,12990,Infinix,252622,26,4,https://www.wildberries.ru/catalog/110851970/detail.aspx?targetUrl=BP
141,"Смартфон Wildfire E3 6,7"" IPS 4Gb 128Gb",29621571,0,10490,10490,HTC,5779,2,1,https://www.wildberries.ru/catalog/29621571/detail.aspx?targetUrl=BP
142,Смартфон,29402808,10,6590,5931,HTC,5779,21,4,https://www.wildberries.ru/catalog/29402808/detail.aspx?targetUrl=BP
143,Galaxy S22+ 8 256ГБ,97714341,20,95669,76535,Samsung,5772,1,5,https://www.wildberries.ru/catalog/97714341/detail.aspx?targetUrl=BP
144,Galaxy S22 5G 128GB,90802284,32,76639,52114,Samsung,5772,15,4,https://www.wildberries.ru/catalog/90802284/detail.aspx?targetUrl=BP
145,Смартфон 12 Lite 8GB+128GB Pink,112017404,5,43202,41041,Xiaomi,19467,2,5,https://www.wildberries.ru/catalog/112017404/detail.aspx?targetUrl=BP
146,Смартфон Redmi Note 5G 11 Pro 8 GB 128 GB,102706964,54,85000,39100,Xiaomi,19467,0,0,https://www.wildberries.ru/catalog/102706964/detail.aspx?targetUrl=BP
147,Смартфон Note 10 Pro 8 128GB (NFC) Голубой RU,32777774,11,32785,29178,Redmi,50662,4,3,https://www.wildberries.ru/catalog/32777774/detail.aspx?targetUrl=BP
148,"Смартфон Redmi Note 10S Синий Океан, 6 128Гб, 64Мп, 5000мАч",34596337,20,29835,23868,Xiaomi,19467,19,4,https://www.wildberries.ru/catalog/34596337/detail.aspx?targetUrl=BP
149,Смартфон Redmi Note 11 4 64 GB,96385227,95,470000,23500,,0,0,0,https://www.wildberries.ru/catalog/96385227/detail.aspx?targetUrl=BP
150,Смартфон Redmi Note 11 4 64,97341336,55,51000,22950,Xiaomi,19467,0,0,https://www.wildberries.ru/catalog/97341336/detail.aspx?targetUrl=BP
151,"Смартфон Redmi 9A 6.53"" 1600x720 IPS MediaTek Helio G25 2GB…",111787189,0,20990,20990,VIPO Technology,1242376,0,0,https://www.wildberries.ru/catalog/111787189/detail.aspx?targetUrl=BP
152,Смартфон A96 6+128 GB,122290460,0,21990,21990,OPPO,10883,0,0,https://www.wildberries.ru/catalog/122290460/detail.aspx?targetUrl=BP
153,Redmi Note 11 Twilight Blue 4 128,95877197,0,19990,19990,,0,0,0,https://www.wildberries.ru/catalog/95877197/detail.aspx?targetUrl=BP
154,Смартфон Redmi 10 4 64Gb 6 5'' 2400x1080 IPS MTK Helio G52 4…,91832373,40,27599,16559,,0,0,0,https://www.wildberries.ru/catalog/91832373/detail.aspx?targetUrl=BP
155,Смартфон Redmi Note 11 NFC 4GB+128GB,134290323,46,29389,15870,Xiaomi,19467,20,5,https://www.wildberries.ru/catalog/134290323/detail.aspx?targetUrl=BP
156,Xiaomi Redmi 10 2022 4 ГБ 128 ГБ белый,122419633,0,12999,12999,Xiaomi - MI,1122769,0,0,https://www.wildberries.ru/catalog/122419633/detail.aspx?targetUrl=BP
157,NOTE 12 2023 (G99) 8+256GB,139245873,25,19987,14990,Infinix,252622,0,0,https://www.wildberries.ru/catalog/139245873/detail.aspx?targetUrl=BP
158,Смартфон CAMON 19 6 128 ГБ,102555093,0,14990,14990,TECNO,23233,0,0,https://www.wildberries.ru/catalog/102555093/detail.aspx?targetUrl=BP
159,Samsung Galaxy A02 32GB,111883576,20,15000,12000,Nurshar,1217547,0,0,https://www.wildberries.ru/catalog/111883576/detail.aspx?targetUrl=BP
160,Смартфон HOT 11S NFC 6+128GB,48037867,30,18558,12990,Infinix,252622,26,4,https://www.wildberries.ru/catalog/48037867/detail.aspx?targetUrl=BP
161,"Смартфон Smart 6 X6511 32ГБ, зеленый (10029511)",88980155,7,13452,12510,Infinix,252622,0,0,https://www.wildberries.ru/catalog/88980155/detail.aspx?targetUrl=BP
162,Смартфон HOT 20 6+128GB,122016764,30,17129,11990,Infinix,252622,0,0,https://www.wildberries.ru/catalog/122016764/detail.aspx?targetUrl=BP
163,Смартфон HOT 20 6+128GB,122016773,30,17129,11990,Infinix,252622,0,0,https://www.wildberries.ru/catalog/122016773/detail.aspx?targetUrl=BP
